amount,hour,day_of_week,merchant_category,previous_amount,time_since_last,timestamp,is_fraud
42.312020976313335,10,4,retail,10.609350117117117,0.33919258382921036,2025-08-11 20:06:44.046687,0
214.6093123536837,21,4,gas,26.243930129911778,5.579151057639624,2025-08-11 20:06:44.046744,0
180.10989286521138,11,0,grocery,56.753366013432874,1.0211878735991624,2025-08-11 20:06:44.046776,0
13.782973800733854,18,3,online,10.341168635189025,0.09512769951281709,2025-08-11 20:06:44.046803,0
3.5733718072345333,6,1,online,17.737801111863885,1.6569636777619972,2025-08-11 20:06:44.046830,0
16.275684636431706,1,3,online,11.784753266464946,0.2603044679088973,2025-08-11 20:06:44.046855,0
9.020743821326263,13,0,online,12.115336600704861,2.8159466033748237,2025-08-11 20:06:44.046879,0
2.5423555782175424,3,5,retail,8.558144032337536,2.9844907542762815,2025-08-11 20:06:44.046902,0
180.960171515277,23,5,online,14.459740654407987,0.6331208864176514,2025-08-11 20:06:44.046964,1
10.064776403159765,12,0,retail,35.06215088218162,0.15495173762261802,2025-08-11 20:06:44.046989,0
48.09528715037041,2,2,grocery,29.599233318524178,5.215528799969486,2025-08-11 20:06:44.047013,0
54.24044079923076,8,3,gas,15.504373766235155,0.9266702335966854,2025-08-11 20:06:44.047037,0
123.74939508065107,11,5,restaurant,41.82510697469164,0.9655354893650224,2025-08-11 20:06:44.047064,0
4.949842404662833,13,6,restaurant,26.687844181969115,1.1156283878168547,2025-08-11 20:06:44.047087,0
22.887035213531696,19,4,online,9.033976622763987,0.5734776459665967,2025-08-11 20:06:44.047110,0
184.35091113961295,3,4,restaurant,7.255282191543851,4.248339628480014,2025-08-11 20:06:44.047133,0
2.224535594435311,20,5,online,29.744060693499208,0.41299095271727815,2025-08-11 20:06:44.047156,0
23.23399072802754,22,3,grocery,32.09322634352113,0.23318432024770167,2025-08-11 20:06:44.047180,0
11.154441621640272,19,4,grocery,2.819289920122918,0.35982297423587056,2025-08-11 20:06:44.047203,0
2.8153144744290857,0,2,gas,231.287937382064,5.726242245382299,2025-08-11 20:06:44.047226,0
27.727043737908566,8,3,grocery,1.6123376247762788,0.585832598118217,2025-08-11 20:06:44.047249,0
68.49839184825905,2,0,retail,4.243530256710844,0.07516895553104506,2025-08-11 20:06:44.047272,0
21.984668298950986,21,6,retail,143.0568512561626,2.0121647296723553,2025-08-11 20:06:44.047295,0
33.34920681140116,5,6,online,87.75696188796479,0.9229742550317206,2025-08-11 20:06:44.047318,0
59.84450837076426,4,3,gas,6.5596066524734455,1.5347704999046976,2025-08-11 20:06:44.047340,0
4.545762645324027,2,3,online,6.9150643463140815,0.03345389511694124,2025-08-11 20:06:44.047367,0
1.9620794474179606,6,3,grocery,13.04706200630731,0.9779174019622036,2025-08-11 20:06:44.047391,0
6.203539780659733,22,6,gas,8.828088239830732,2.157525478087829,2025-08-11 20:06:44.047414,0
28.252724683251266,16,1,grocery,45.021617093590834,4.550246450389046,2025-08-11 20:06:44.047437,0
